sample,model,n,pt@0%,pt@4%,g_above,g_below,asym_p,coint_p,rmse,bias,rmse_up,bias_up,rmse_down,bias_down
NL pre-ZLB,linear,168,0.285248168097052,0.285248168097052,-0.0635617535161968,-0.0635617535161968,,0.3599385412430821,0.8517533415582229,0.8073464885270433,0.6743787531828882,0.6347635592917409,1.024851314771518,1.014446003609406
NL pre-ZLB,linear MA60,168,0.5843290507168142,0.5843290507145937,-0.03514534545125404,-0.03514534545125404,,0.06312405643623002,0.4406456979212466,0.052731561282473714,0.3738017004871411,-0.18902269150903236,0.509409201789496,0.342836664632281
NL pre-ZLB,level-dependent,168,6.261979823563024e-05,0.2807856450548485,-0.06630979467102927,-0.06630979467102927,,0.14672859278508182,0.8948951063268512,0.8549587927732295,0.7335443584261842,0.6945157348321892,1.056473928682759,1.0474904623024779
NL pre-ZLB,asymmetric,168,0.285248168097052,0.285248168097052,-0.14108861107700546,0.0018882483057469446,0.0701370541051977,0.3599385412430821,0.9341130187292833,-0.7793766992342663,0.7972196873904096,-0.5438235350213255,1.0756284739237523,-1.0620404962897947
NL pre-ZLB,asymmetric MA60,168,0.5843290507168142,0.5843290507145937,-0.08455311551471074,-0.004715819293415082,0.2521225667011675,0.06312405643623002,0.5046680835685117,0.13940855275530828,0.3359940818012705,-0.18346517173139304,0.6518031117242359,0.5268570221393499
NL full,linear,264,0.5745964253500713,0.5745964253511815,-0.03034396739603696,-0.03034396739603696,,0.36358399420747994,0.26509930196607817,0.046107020389581664,0.250414334478393,-0.08403851820184166,0.28171262146321446,0.20228166669928968
NL full,linear MA60,264,0.7227003599818982,0.722700359980788,-0.02786050456348075,-0.02786050456348075,,0.05405477099479141,0.5650665264111049,-0.3559387587295283,0.663092084655832,-0.48675134736052783,0.41812804153132993,-0.19896365237232888
NL full,level-dependent,264,0.5745962397651905,0.5745962397663007,-0.030343953335399316,-0.030343953335399316,,0.1675022922529723,0.2650992117189315,0.04610662687301087,0.2504145605497795,-0.08403872228135255,0.28171219348191245,0.202281045858247
NL full,asymmetric,264,0.5745964253500713,0.5745964253511815,-0.052249727269974344,-0.009302212886639606,0.19172610059458728,0.36358399420747994,0.5534263944860909,-0.42156765126824974,0.5601969606424034,-0.3539482983937751,0.5451907385447223,-0.5027108747176192
NL full,asymmetric MA60,264,0.7227003599818982,0.722700359980788,-0.002162880648245035,-0.0547461655287099,0.32684438424693696,0.05405477099479141,0.5680188298381542,-0.3456184652575,0.6690251580742365,-0.4960715630974155,0.41557943374046385,-0.16507474784960138
NL matched,linear,183,0.5267543279385833,0.5267543279385833,-0.02880016278475749,-0.02880016278475749,,0.7182245038065719,0.37052285300813664,-0.2075614887043524,0.45330982256521435,-0.3031739779062276,0.23546560649468323,-0.09282650166210221
NL matched,linear MA60,183,0.7589246166445074,0.7589246166461727,-0.010405871578082327,-0.010405871578082327,,0.18907008062665975,0.5795273834169686,-0.38914602445890556,0.6822925281450345,-0.5146086678590431,0.42455466212398213,-0.2385908523787406
NL matched,level-dependent,183,0.5267543280496056,0.5267543280496056,-0.028800162791387113,-0.028800162791387113,,0.483526693258569,0.3705228528507204,-0.20756148845716743,0.4533098223966709,-0.3031739777757869,0.23546560633909774,-0.09282650127482399
NL matched,asymmetric,183,0.5267543279385833,0.5267543279385833,-0.043226192309293365,-0.008826624264143983,0.524552378645049,0.7182245038065719,0.8193484437652083,-0.6870935088565514,0.7850647120313763,-0.5658137185369636,0.8586839910984377,-0.8326292572400569
NL matched,asymmetric MA60,183,0.7589246166445074,0.7589246166461727,-0.007473544401384371,-0.012691958542891424,0.89836230514365,0.18907008062665975,0.5803880785550692,-0.3880460385922889,0.6837214391741245,-0.516461945280599,0.42438272837128554,-0.23394695056631698
BE pre-ZLB,linear,87,0.23762730252507858,0.23762730252507858,-0.08185004284403678,-0.08185004284403678,,0.5411065946382664,0.5856159837577195,0.555999499729329,0.6224397909335398,0.5746400801437433,0.5381113499515512,0.533630803232032
BE pre-ZLB,linear MA60,87,0.5223128188401593,0.5223128188402981,-0.03208132468895385,-0.03208132468895385,,0.7390304602915803,0.2739113016324626,-0.031936975604818965,0.22443158219760825,-0.1874497249769225,0.32344526654615247,0.15467832364170528
BE pre-ZLB,level-dependent,87,3.6320845220316755e-05,0.23334972847344204,-0.08805549955779719,-0.08805549955779719,,0.44715828653083806,0.6160885100251353,0.5882665840157408,0.6617277424073932,0.6181081454618802,0.5564016433486502,0.5524567102803736
BE pre-ZLB,asymmetric,87,0.23762730252507858,0.23762730252507858,-0.09586044438410767,-0.05874895076516125,0.7433231030015681,0.5411065946382664,0.5344294481752166,0.5064445381240387,0.5471674067891119,0.5027178458935263,0.5187311749898215,0.5109165688006534
BE pre-ZLB,asymmetric MA60,87,0.5223128188401593,0.5223128188402981,-0.1327049107216258,0.07228312138502246,0.05831400922276037,0.7390304602915803,0.3261817477880864,0.14095739943702482,0.08342213246626219,-0.06390850272100329,0.47509669444854846,0.3867964820266586
BE full,linear,183,0.3686737607894175,0.3686737607899726,-0.054222357030471964,-0.054222357030471964,,0.2189710198309297,0.41324333194828955,0.38245163314487324,0.41946619245424427,0.3674820754192147,0.4056499095832761,0.4004151024156633
BE full,linear MA60,183,0.4573372701502376,0.45733727014996006,-0.039558493036316464,-0.039558493036316464,,0.39393435590572834,0.29474524348243125,0.08832749049559932,0.1255622476091172,-0.09535999590475568,0.41497640317559625,0.3087524741760253
BE full,level-dependent,183,0.36867376562832455,0.36867376562832455,-0.05422235800164803,-0.05422235800164803,,0.08016774610482652,0.4132433411929691,0.38245164199298,0.41946619859971374,0.36748208033309626,0.40564992267654854,0.4004151159848404
BE full,asymmetric,183,0.3686737607894175,0.3686737607899726,-0.05226580198825525,-0.057733652738626885,0.9341064417559797,0.2189710198309297,0.42138042013353,0.3899598562521392,0.4290092942223387,0.3752607081272618,0.41203936608438696,0.4075988340019922
BE full,asymmetric MA60,183,0.4573372701502376,0.45733727014996006,-0.07160187968162827,0.0008111886782383174,0.298771585140008,0.39393435590572834,0.3033653373614395,0.13085371310708693,0.08411493124489156,-0.052693280925788746,0.4404279457724324,0.3511101059465377
NL benchmark,naive no-change,,,,,,,,1.2324690665489335,-1.0652727272727271,1.027706183692596,-0.7593333333333334,1.4402569215247676,-1.4324000000000001
NL benchmark,naive fixed beta,,,,,,,,0.43662540960865065,-0.18371475927272735,0.33866514886660276,0.1000724786666666,0.5308285472982989,-0.5242594448000001
BE benchmark,naive no-change,,,,,,,,0.6075225397988426,-0.5152727272727272,0.458261206445989,-0.3309999999999999,0.7483181141733775,-0.7364
BE benchmark,naive fixed beta,,,,,,,,0.4658011305965377,0.3662852407272728,0.604635968505159,0.528405812,0.19655518281343345,0.17174055519999995
